X24A  -105.434900 +34.564600
X25A  -104.662100 +34.527100
X26A  -103.810300 +34.550800
X27A  -103.097400 +34.646900
X28A  -102.197300 +34.518500
X29A  -101.700800 +34.445200
X30A  -100.874000 +34.446100
X31A  -099.979300 +34.630900
X32A  -099.285400 +34.421400
Y20A  -108.376900 +33.908500
Y21A  -107.674000 +34.008700
Y22A  -106.965200 +33.937000
Y22D  -106.921000 +34.073900
Y23A  -106.054900 +33.931500
Y24A  -105.436100 +33.925700
Y25A  -104.692800 +33.922900
Y26A  -103.824600 +33.923200
Y27A  -103.163300 +33.883900
Y28A  -102.247900 +33.908600
Y29A  -101.671200 +33.860200
Y30A  -100.897800 +33.876600
Y31A  -100.261500 +33.962900
Y32A  -099.442000 +34.003600
Z20A  -108.592200 +33.113200
Z21A  -107.671200 +33.308600
Z22A  -106.963900 +33.255500
Z23A  -106.231900 +33.262100
Z24A  -105.364900 +33.329800
Z25A  -104.717100 +33.279700
Z26A  -103.979800 +33.271600
Z27A  -103.214500 +33.315000
Z28A  -102.386600 +33.288400
Z29A  -101.706200 +33.259500
Z30A  -101.128200 +33.286100
Z31A  -100.143500 +33.318300
Z32A  -099.478300 +33.306600
