U23A  -106.191900 +36.328900
U24A  -105.278400 +36.409300
U25A  -104.408100 +36.399800
U26A  -103.743900 +36.394500
U27A  -102.824600 +36.421300
U28A  -102.224300 +36.379300
U29A  -101.270200 +36.451900
U30A  -100.650900 +36.530400
V17A  -110.793800 +35.621800
V18A  -109.932700 +35.711300
V19A  -109.045600 +35.714700
V20A  -108.466200 +35.799200
V21A  -107.637800 +35.805400
V22A  -106.909400 +35.913800
V23A  -106.183300 +35.745200
V24A  -105.271600 +35.725900
V25A  -104.616400 +35.838300
V26A  -103.786000 +35.796400
V27A  -102.836100 +35.756900
V28A  -102.224300 +35.750500
V29A  -101.520900 +35.873400
V30A  -100.689200 +35.762300
W17A  -110.712700 +35.078900
W18A  -109.735700 +35.118100
W19A  -109.387900 +35.111800
W20A  -108.500100 +35.125900
W21A  -107.647600 +35.117000
W22A  -106.867400 +35.071900
W23A  -106.150300 +35.160500
W24A  -105.407500 +35.210600
W25A  -104.460600 +35.217700
W26A  -103.765600 +35.089100
W27A  -103.062700 +35.063700
W28A  -102.206300 +35.257400
W29A  -101.647600 +35.121200
W30A  -100.577000 +35.181800
X17A  -110.805800 +34.337100
X18A  -109.950100 +34.529300
X19A  -109.290100 +34.427500
X20A  -108.498000 +34.542100
X21A  -107.785700 +34.445700
X22A  -107.010200 +34.505800
X23A  -106.188100 +34.581000
X24A  -105.434900 +34.564600
X25A  -104.662100 +34.527100
X26A  -103.810300 +34.550800
X27A  -103.097400 +34.646900
X28A  -102.197300 +34.518500
X29A  -101.700800 +34.445200
X30A  -100.874000 +34.446100
Y17A  -110.844400 +33.695300
Y18A  -110.034100 +33.777600
Y19A  -109.254100 +33.957100
Y20A  -108.376900 +33.908500
Y21A  -107.674000 +34.008700
Y22A  -106.965200 +33.937000
Y22C  -106.921100 +34.074100
Y22D  -106.921000 +34.073900
Y23A  -106.054900 +33.931500
Y24A  -105.436100 +33.925700
Y25A  -104.692800 +33.922900
Y26A  -103.824600 +33.923200
Y27A  -103.163300 +33.883900
Y28A  -102.247900 +33.908600
Y29A  -101.671200 +33.860200
Y30A  -100.897800 +33.876600
Y31A  -100.261500 +33.962900
Z17A  -110.472300 +33.296900
Z18A  -110.036200 +33.085100
Z19A  -109.265700 +33.292100
Z20A  -108.592200 +33.113200
Z21A  -107.671200 +33.308600
Z22A  -106.963900 +33.255500
Z23A  -106.231900 +33.262100
Z24A  -105.364900 +33.329800
Z25A  -104.717100 +33.279700
Z26A  -103.979800 +33.271600
Z27A  -103.214500 +33.315000
Z28A  -102.386600 +33.288400
Z29A  -101.706200 +33.259500
Z30A  -101.128200 +33.286100
Z31A  -100.143500 +33.318300
