BB130,-2902
BB300,-2897
BB330,-2843
BB350,-3297
BB480,-4787
G03A,-4113
G30A,-3124
J06A,-3224
J23A,-2655
J25A,-142.8
J26A,-2864
J28A,-2867
J29A,-2849
J30A,-2824
J31A,-2657
J33A,-348.7
J34A,-2574
J35A,-2662
J36A,-2821
J37A,-2862
J38A,-2734
J39A,-2659
J41A,-175
J42A,-1540
J43A,-2654.4
J44A,-2724.1
J45A,-2757
J46A,-2744
J47A,-2685
J48A,-2973
J49A,-120
J50A,-1909
J51A,-2610
J52A,-2613
J53A,-2686
J54A,-2662
J55A,-2800
J57A,-55.8
J58A,-1511
J59A,-2371
J61A,-2644
J63A,-2882
J65A,-165.2
J67A,-2612
J68A,-2590
J73A,-143.3
M01A,-132.9
M02A,-139
M03A,-1818
M06A,-1439
M07A,-1356.5
M08A,-126.4
FS05B,2250
FS06B,2211
FS09B,2050
G03B,4113
G04B,4387
G05B,4467
G11B,3129
G13B,3201
G19B,3090
G20B,3050
G21B,3272
G22B,2889
G29B,3408
G30B,3124
G35B,2363
G36B2,2316
J06B,3224
J11B,3031
J19B,2977
J23B,2655
J27B,2823
J28B,2867
J48B,2988
J63B,2882
FS01B,949
FS14B,107
G02B,1920
G10B,2967
G12B,3108
G27B,3367
G28B,3327
G37B,3008
J09B,252
J10B,3093
J18B,3045
J20B,2942
M11B,1108
M12B,1066
M14B,638
FS02B,1402.8
FS03B,345
FS04B,159
FS07B,1297.2
FS08B,120
FS10B,1075.7
FS11B,132
FS12B,60
FS13B,2332.2
FS15B,52
FS16B,1073.2
FS17B,146
FS18B,107
FS19B,87
FS20B,2377.9
G09B,842
G17B,123
G18B,1463.6
G25B,430.4
G26B,2356.8
G33B,213
G34B,2953.5
J34B,2583.1
M13B,908.9
J17B,286
J25B,147
J33B,350
M09B,914
M10B,675
M18B,720
