257 D257 116 22
258 D258 116.5 22
259 D259 117 22
260 D260 117.5 22
261 D261 118 22
262 D262 118.5 22
263 D263 119 22
264 D264 119.5 22
265 D265 120 22
266 D266 120.5 22
267 D267 121 22
268 D268 121.5 22
269 D269 122 22
270 D270 122.5 22
271 D271 123 22
272 D272 123.5 22
273 D273 124 22
274 D274 124.5 22
275 D275 125 22
276 D276 125.5 22
277 D277 126 22
278 D278 126.5 22
279 D279 127 22
280 D280 127.5 22
281 D281 128 22
282 D282 128.5 22
283 D283 129 22
284 D284 129.5 22
285 D285 130 22
286 D286 130.5 22
287 D287 131 22
288 D288 131.5 22
289 D289 132 22
290 D290 132.5 22
291 D291 133 22
292 D292 133.5 22
293 D293 134 22
294 D294 134.5 22
295 D295 135 22
296 D296 135.5 22
297 D297 136 22
298 D298 136.5 22
299 D299 137 22
300 D300 137.5 22
301 D301 138 22
302 D302 138.5 22
303 D303 139 22
304 D304 139.5 22
305 D305 140 22
306 D306 110 22.5
307 D307 110.5 22.5
308 D308 111 22.5
309 D309 111.5 22.5
310 D310 112 22.5
311 D311 112.5 22.5
312 D312 113 22.5
313 D313 113.5 22.5
314 D314 114 22.5
315 D315 114.5 22.5
316 D316 115 22.5
317 D317 115.5 22.5
318 D318 116 22.5
319 D319 116.5 22.5
320 D320 117 22.5
321 D321 117.5 22.5
322 D322 118 22.5
323 D323 118.5 22.5
324 D324 119 22.5
325 D325 119.5 22.5
326 D326 120 22.5
327 D327 120.5 22.5
328 D328 121 22.5
329 D329 121.5 22.5
330 D330 122 22.5
331 D331 122.5 22.5
332 D332 123 22.5
333 D333 123.5 22.5
334 D334 124 22.5
335 D335 124.5 22.5
336 D336 125 22.5
337 D337 125.5 22.5
338 D338 126 22.5
339 D339 126.5 22.5
340 D340 127 22.5
341 D341 127.5 22.5
342 D342 128 22.5
343 D343 128.5 22.5
344 D344 129 22.5
345 D345 129.5 22.5
346 D346 130 22.5
347 D347 130.5 22.5
348 D348 131 22.5
349 D349 131.5 22.5
350 D350 132 22.5
351 D351 132.5 22.5
352 D352 133 22.5
353 D353 133.5 22.5
354 D354 134 22.5
355 D355 134.5 22.5
356 D356 135 22.5
357 D357 135.5 22.5
358 D358 136 22.5
359 D359 136.5 22.5
360 D360 137 22.5
361 D361 137.5 22.5
362 D362 138 22.5
363 D363 138.5 22.5
364 D364 139 22.5
365 D365 139.5 22.5
366 D366 140 22.5
367 D367 110 23
368 D368 110.5 23
369 D369 111 23
370 D370 111.5 23
371 D371 112 23
372 D372 112.5 23
373 D373 113 23
374 D374 113.5 23
375 D375 114 23
376 D376 114.5 23
377 D377 115 23
378 D378 115.5 23
379 D379 116 23
380 D380 116.5 23
381 D381 117 23
382 D382 117.5 23
383 D383 118 23
384 D384 118.5 23
385 D385 119 23
386 D386 119.5 23
387 D387 120 23
388 D388 120.5 23
389 D389 121 23
390 D390 121.5 23
391 D391 122 23
392 D392 122.5 23
393 D393 123 23
394 D394 123.5 23
395 D395 124 23
396 D396 124.5 23
397 D397 125 23
398 D398 125.5 23
399 D399 126 23
400 D400 126.5 23
401 D401 127 23
402 D402 127.5 23
403 D403 128 23
404 D404 128.5 23
405 D405 129 23
406 D406 129.5 23
407 D407 130 23
408 D408 130.5 23
409 D409 131 23
410 D410 131.5 23
411 D411 132 23
412 D412 132.5 23
413 D413 133 23
414 D414 133.5 23
415 D415 134 23
416 D416 134.5 23
417 D417 135 23
418 D418 135.5 23
419 D419 136 23
420 D420 136.5 23
421 D421 137 23
422 D422 137.5 23
423 D423 138 23
424 D424 138.5 23
425 D425 139 23
426 D426 139.5 23
427 D427 140 23
428 D428 110 23.5
429 D429 110.5 23.5
430 D430 111 23.5
431 D431 111.5 23.5
432 D432 112 23.5
433 D433 112.5 23.5
434 D434 113 23.5
435 D435 113.5 23.5
436 D436 114 23.5
437 D437 114.5 23.5
438 D438 115 23.5
439 D439 115.5 23.5
440 D440 116 23.5
441 D441 116.5 23.5
442 D442 117 23.5
443 D443 117.5 23.5
444 D444 118 23.5
445 D445 118.5 23.5
446 D446 119 23.5
447 D447 119.5 23.5
448 D448 120 23.5
449 D449 120.5 23.5
450 D450 121 23.5
451 D451 121.5 23.5
452 D452 122 23.5
453 D453 122.5 23.5
454 D454 123 23.5
455 D455 123.5 23.5
456 D456 124 23.5
457 D457 124.5 23.5
458 D458 125 23.5
459 D459 125.5 23.5
460 D460 126 23.5
461 D461 126.5 23.5
462 D462 127 23.5
463 D463 127.5 23.5
464 D464 128 23.5
465 D465 128.5 23.5
466 D466 129 23.5
467 D467 129.5 23.5
468 D468 130 23.5
469 D469 130.5 23.5
470 D470 131 23.5
471 D471 131.5 23.5
472 D472 132 23.5
473 D473 132.5 23.5
474 D474 133 23.5
475 D475 133.5 23.5
476 D476 134 23.5
477 D477 134.5 23.5
478 D478 135 23.5
479 D479 135.5 23.5
480 D480 136 23.5
481 D481 136.5 23.5
482 D482 137 23.5
483 D483 137.5 23.5
484 D484 138 23.5
485 D485 138.5 23.5
486 D486 139 23.5
487 D487 139.5 23.5
488 D488 140 23.5
489 D489 110 24
490 D490 110.5 24
491 D491 111 24
492 D492 111.5 24
493 D493 112 24
494 D494 112.5 24
495 D495 113 24
496 D496 113.5 24
497 D497 114 24
498 D498 114.5 24
499 D499 115 24
500 D500 115.5 24
501 D501 116 24
502 D502 116.5 24
503 D503 117 24
